?land Islands, Mariehamn 
Albania, Tirana 
Andorra, Andorra la Vella 
Austria, Vienna 
Belarus, Minsk 
Belgium, Brussels 
Bosnia and Herzegovina, Sarajevo 
Bulgaria, Sofia 
Croatia, Zagreb 
Czechia, Prague 
Denmark, Copenhagen 
Estonia, Tallinn 
Faroe Islands, Tórshavn 
Finland, Helsinki 
France, Paris 
Germany, Berlin 
Gibraltar, Gibraltar 
Greece, Athens 
Guernsey, Saint Peter Port 
Hungary, Budapest 
Iceland, Reykjavík 
Ireland, Dublin 
Isle of Man, Douglas 
Italy, Rome 
Jersey, Saint Helier 
Kosovo, Pristina 
Latvia, Riga 
Liechtenstein, Vaduz 
Lithuania, Vilnius 
Luxembourg, Luxembourg 
Malta, Valletta 
Moldova, Chisinau 
Monaco, Monaco 
Montenegro, Podgorica 
Netherlands, Amsterdam 
North Macedonia, Skopje 
Norway, Oslo 
Poland, Warsaw 
Portugal, Lisbon 
Romania, Bucharest 
Russia, Moscow 
San Marino, San Marino 
Serbia, Belgrade 
Slovakia, Bratislava 
Slovenia, Ljubljana 
Spain, Madrid 
Svalbard, Longyearbyen 
Sweden, Stockholm 
Switzerland, Bern 
Ukraine, Kiev 
United Kingdom, London 
Anguilla, The Valley 
Antigua and Barbuda, Saint John’s 
Argentina, Buenos Aires 
Aruba, Oranjestad 
Bahamas, Nassau 
Barbados, Bridgetown 
Belize, Belmopan 
Bermuda, Hamilton 
Bolivia, Sucre 
Brazil, Brasília 
British Virgin Islands, Road Town 
Canada, Ottawa 
Cayman Islands, George Town 
Chile, Santiago 
Colombia, Bogotá 
Costa Rica, San José 
Cuba, Havana 
Curacao, Willemstad 
Dominica, Roseau 
Dominican Republic, Santo Domingo 
Ecuador, Quito 
El Salvador, San Salvador 
Falkland Islands, Stanley 
French Guiana, Cayenne 
Greenland, Nuuk 
Grenada, Saint George's 
Guadeloupe, Basse-Terre 
Guatemala, Guatemala City 
Guyana, Georgetown 
Haiti, Port-au-Prince 
Honduras, Tegucigalpa 
Jamaica, Kingston 
Martinique, Fort-de-France 
Mexico, Mexico City 
Montserrat, Brades 
Nicaragua, Managua 
Panama, Panama City 
Paraguay, Asunción 
Peru, Lima 
Puerto Rico, San Juan 
Saint Barthelemy, Gustavia 
Saint Kitts and Nevis, Basseterre 
Saint Lucia, Castries 
Saint Martin, Marigot 
Saint Pierre and Miquelon, Saint-Pierre 
Saint Vincent and the Grenadines, Kingstown 
Sint Maarten, Philipsburg 
South Georgia and South Sandwich Islands, King Edward Point 
Suriname, Paramaribo 
Trinidad and Tobago, Port-of-Spain 
Turks and Caicos Islands, Cockburn Town 
United States, Washington,  D.C. 
Uruguay, Montevideo 
Venezuela, Caracas 
Virgin Islands, Charlotte Amalie 
Country, Capital City 
Afghanistan, Kabul 
Armenia, Yerevan 
Azerbaijan, Baku 
Bahrain, Manama 
Bangladesh, Dhaka 
Bhutan, Thimphu 
Brunei, Bandar Seri Begawan 
Burma, Nay Pyi Taw 
Cambodia, Phnom Penh 
China, Beijing 
Cyprus, Nicosia 
East Timor, Dili 
Georgia, Tbilisi 
Hong Kong, Hong Kong 
India, New Delhi 
Indonesia, Jakarta 
Iran, Tehran 
Iraq, Baghdad 
Israel, Jerusalem 
Japan, Tokyo 
Jordan, Amman 
Kazakhstan, Nursultan 
Kuwait, Kuwait City 
Kyrgyzstan, Bishkek 
Laos, Vientiane 
Lebanon, Beirut 
Macao, Concelho de Macau 
Malaysia, Kuala Lumpur 
Maldives, Malé 
Mongolia, Ulaanbaatar 
Nepal, Kathmandu 
North Korea, Pyongyang 
Oman, Muscat 
Pakistan, Islamabad 
Palestine, Ramallah 
Philippines, Manila 
Qatar, Doha 
Saudi Arabia, Riyadh 
Singapore, Singapore 
South Korea, Seoul 
Sri Lanka, Colombo 
Syria, Damascus 
Taiwan, Taipei 
Tajikistan, Dushanbe 
Thailand, Bangkok 
Turkey, Ankara 
Turkmenistan, Ashgabat 
United Arab Emirates, Abu Dhabi 
Uzbekistan, Tashkent 
Vietnam, Hanoi 
Yemen, Sanaa 
Australia, Canberra 
Christmas Island, Flying Fish Cove 
Cocos (Keeling) Islands, West Island 
New Zealand, Wellington 
Norfolk Island, Kingston 
Algeria, Algiers 
Angola, Luanda 
Benin, Porto-Novo 
Botswana, Gaborone 
Burkina Faso, Ouagadougou 
Burundi, Bujumbura 
Cameroon, Yaoundé 
Cape Verde, Praia 
Central African Republic, Bangui 
Chad, N'Djamena 
Comoros, Moroni 
Democratic Republic of the Congo, Kinshasa 
Djibouti, Djibouti 
Egypt, Cairo 
Equatorial Guinea, Malabo 
Eritrea, Asmara 
Ethiopia, Addis Ababa 
Gabon, Libreville 
Gambia, Banjul 
Ghana, Accra 
Guinea, Conakry 
Guinea-Bissau, Bissau 
Ivory Coast, Yamoussoukro 
Kenya, Nairobi 
Lesotho, Maseru 
Liberia, Monrovia 
Libya, Tripoli 
Madagascar, Antananarivo 
Malawi, Lilongwe 
Mali, Bamako 
Mauritania, Nouakchott 
Mauritius, Port Louis 
Mayotte, Mamoudzou 
Morocco, Rabat 
Mozambique, Maputo 
Namibia, Windhoek 
Niger, Niamey 
Nigeria, Abuja 
Republic of the Congo, Brazzaville 
Reunion, Saint-Denis 
Rwanda, Kigali 
Saint Helena and Ascension and Tristan da Cunha, Jamestown 
Sao Tome and Principe, S?o Tomé 
Senegal, Dakar 
Seychelles, Victoria 
Sierra Leone, Freetown 
Somalia, Mogadishu 
South Africa, Pretoria 
South Sudan, Juba 
Sudan, Khartoum 
Swaziland, Mbabane 
Tanzania, Dodoma 
Togo, Lomé 
Tunisia, Tunis 
Uganda, Kampala 
Western Sahara, El Aaiún 
Zambia, Lusaka 
Zimbabwe, Harare 
American Samoa, Pago Pago 
Cook Islands, Avarua 
Fiji, Suva 
French Polynesia, Papeete 
Guam, Hag?t?a 
Kiribati, Tarawa 
Marshall Islands, Majuro 
Nauru, Yaren 
New Caledonia, Nouméa 
Niue, Alofi 
Northern Mariana Islands, Saipan 
Papua New Guinea, Port Moresby 
Pitcairn Islands, Adamstown 
Samoa, Apia 
Solomon Islands, Honiara 
Tonga, Nuku‘alofa 
Tuvalu, Funafuti 
Vanuatu, Port-Vila 
Wallis and Futuna, Mata-Utu 
